N_COMP_INSP,REGIONAL_INSPECAO,SECCIONAL_INSPECAO,QTDE,UPS,EQUIPE
211000331,SUL,CAMAQUÃ,1.000000,2.40000000000000000,PODA
144000650,SUL,PELOTAS,72.000000,103.16160000000000000,TAT
35003042,SUL,CAMAQUÃ,4.000000,0.00000000000000000,LM
16002058,SUL,BAGÉ,1.000000,1.02000000000000000,PODA
214300784,NORTE,OSÓRIO,37.000000,110.07500000000000000,PODA
CAM11,SUL,CAMAQUÃ,4.000000,11.89920000000000000,LM
188000420,SUL,CAMAQUÃ,3.000000,0.00000000000000000,CAPEX
35003042,SUL,CAMAQUÃ,2.000000,0.00000000000000000,LV
176002978,NORTE,OSÓRIO,3.000000,18.70560000000000000,LM
35000189,SUL,CAMAQUÃ,3.000000,0.00000000000000000,CAPEX
PAL119,NORTE,PORTO ALEGRE,3.000000,10.69200000000000000,LV
54305846,SUL,RIO GRANDE,9.000000,0.00000000000000000,TAT
35001646,SUL,CAMAQUÃ,3.000000,0.00000000000000000,LV
136547075,NORTE,OSÓRIO,9.000000,14.89319999999999820,TAT
PAL04461,NORTE,PORTO ALEGRE,2.000000,6.00000000000000000,PODA
VAS2,SUL,CAMAQUÃ,1.000000,3.56400000000000000,LM
54400318,SUL,CANGUÇU,90.000000,270.00000000000000000,PODA
54400318,SUL,CANGUÇU,159.000000,171.71999999999996820,PODA
188002491,SUL,CAMAQUÃ,3.000000,7.20000000000000000,PODA
PAL0445,NORTE,PORTO ALEGRE,2.000000,15.48000000000000000,PODA
54305830,SUL,RIO GRANDE,1.000000,1.01166666666666670,PODA
SAO5,NORTE,OSÓRIO,1.000000,3.46980000000000000,CAPEX
35000749,SUL,CAMAQUÃ,4.000000,54.73920000000000400,LM
156004547,SUL,RIO GRANDE,8.000000,33.39839999999999200,TAT
SAO5,NORTE,OSÓRIO,1.000000,1.79220000000000000,CAPEX
54401858,SUL,CANGUÇU,12.000000,28.80000000000000000,PODA
136547164,NORTE,OSÓRIO,1.000000,13.65480000000000000,CAPEX
35000020,SUL,CAMAQUÃ,4.000000,11.89920000000000000,TAT
3040,SUL,CAMAQUÃ,8.000000,0.00000000000000000,LV
144000213,SUL,PELOTAS,2.000000,20.52600000000000000,LM
35000960,SUL,CAMAQUÃ,1.000000,3.56400000000000000,LM
149006922,NORTE,PORTO ALEGRE,12.000000,40.32000000000000360,PODA
35000572,SUL,CAMAQUÃ,4.000000,11.89920000000000000,TAT
MML2,SUL,RIO GRANDE,1.000000,2.55833333333333360,PODA
65006603,SUL,CANGUÇU,3.000000,0.00000000000000000,PODA
216037130,NORTE,OSÓRIO,16.000000,26.03519999999999680,TAT
173005700,SUL,RIO GRANDE,12.000000,25.90560000000000360,TAT
2099,SUL,RIO GRANDE,12.000000,28.56240000000000000,LV
SAO5,NORTE,OSÓRIO,1.000000,11.22000000000000000,CAPEX
35000749,SUL,CAMAQUÃ,4.000000,54.73920000000000400,LV
216037212,NORTE,OSÓRIO,9.000000,14.89319999999999820,TAT
SAO5,NORTE,OSÓRIO,1.000000,10.26300000000000000,CAPEX
54305846,SUL,RIO GRANDE,2.000000,0.00000000000000000,PODA
VIA118,NORTE,PORTO ALEGRE,1.000000,1.13000000000000010,PODA
149010743,NORTE,PORTO ALEGRE,3.000000,24.12000000000000300,CAPEX
35003042,SUL,CAMAQUÃ,2.000000,7.12800000000000000,LM
PMR2,NORTE,OSÓRIO,1.000000,2.76000000000000020,LM
54400318,SUL,CANGUÇU,22.000000,56.76000000000000000,PODA
185002062,SUL,RIO GRANDE,59.000000,141.60000000000000000,PODA
144000606,SUL,PELOTAS,4.000000,4.52000000000000040,PODA
188002964,SUL,CAMAQUÃ,1.000000,3.56400000000000000,LM
25,SUL,BAGÉ,12.000000,29.98799999999999640,LV
46600225,SUL,PELOTAS,2.000000,0.00000000000000000,PODA
CAM12,SUL,CAMAQUÃ,16.000000,35.06879999999999520,LV
211000331,SUL,CAMAQUÃ,4.000000,18.88799999999999800,CAPEX
35000189,SUL,CAMAQUÃ,2.000000,5.11666666666666720,PODA
142001742,SUL,PELOTAS,8.000000,27.97920000000000000,CAPEX
2729,SUL,RIO GRANDE,10.000000,25.58333333333333600,PODA
35000183,SUL,CAMAQUÃ,2.000000,7.12800000000000000,LM
144000116,SUL,PELOTAS,1.000000,1.02000000000000000,PODA
CAM18,SUL,CAMAQUÃ,1.000000,7.82940000000000000,LV
PAL16162,NORTE,PORTO ALEGRE,3.000000,20.11500000000000300,LV
216037333,NORTE,OSÓRIO,9.000000,24.84000000000000180,TAT
211001375,SUL,CAMAQUÃ,9.000000,25.13159999999999820,TAT
211000323,SUL,CAMAQUÃ,8.000000,33.39839999999999200,CAPEX
54400318,SUL,CANGUÇU,30.000000,232.20000000000000000,PODA
54400318,SUL,CANGUÇU,3.000000,3.23999999999999940,PODA
54400318,SUL,CANGUÇU,2.000000,6.00000000000000000,PODA
54401858,SUL,CANGUÇU,75.000000,193.50000000000000000,PODA
PAL119,NORTE,PORTO ALEGRE,3.000000,17.10000000000000000,LV
DFE02,SUL,CANGUÇU,1.000000,3.00000000000000000,PODA
173005887,SUL,RIO GRANDE,9.000000,25.13159999999999820,TAT
156005106,SUL,RIO GRANDE,8.000000,27.97920000000000000,TAT
156000159,SUL,RIO GRANDE,5.000000,12.79166666666666800,PODA
SLO3,SUL,CAMAQUÃ,4.000000,8.51520000000000000,LV
142001742,SUL,PELOTAS,36.000000,51.58080000000000000,TAT
230010094,NORTE,PORTO ALEGRE,3.000000,24.12000000000000300,CAPEX
RET230006741,NORTE,PORTO ALEGRE,4.000000,12.00000000000000000,PODA
142001742,SUL,PELOTAS,36.000000,51.58080000000000000,TAT
40028,SUL,BAGÉ,2.000000,0.00000000000000000,PODA
54401858,SUL,CANGUÇU,46.000000,138.00000000000000000,PODA
6007712,NORTE,PORTO ALEGRE,1.000000,3.00000000000000000,PODA
136508431,NORTE,OSÓRIO,3.000000,18.70560000000000000,LM
205500636,SUL,CAMAQUÃ,4.000000,0.00000000000000000,LV
188000436,SUL,CAMAQUÃ,3.000000,3.96360000000000000,LM
8502088,SUL,CAMAQUÃ,1.000000,1.01166666666666670,PODA
35001007,SUL,CAMAQUÃ,3.000000,3.42000000000000030,PODA
TAI1,SUL,RIO GRANDE,0.105264,0.31316040000000000,PODA
35000126,SUL,CANGUÇU,15.000000,38.70000000000000000,PODA
66003130,SUL,BAGÉ,3.000000,7.74000000000000000,PODA
188000453,SUL,CAMAQUÃ,4.000000,0.00000000000000000,LV
MML1,SUL,RIO GRANDE,1.000000,2.55833333333333360,PODA
188000453,SUL,CAMAQUÃ,3.000000,12.52439999999999700,CAPEX
SAS0105,SUL,RIO GRANDE,20.000000,51.16666666666667200,PODA
35001539,SUL,CAMAQUÃ,4.000000,11.89920000000000000,TAT
46600425,SUL,PELOTAS,1.000000,1.02000000000000000,PODA
PAL997,NORTE,PORTO ALEGRE,3.000000,20.11500000000000300,LV
8501381,SUL,CAMAQUÃ,1.000000,1.01166666666666670,PODA
35000183,SUL,CAMAQUÃ,1.000000,2.55833333333333360,PODA
PAL119,NORTE,PORTO ALEGRE,51.000000,92.85570000000000000,LV
PAL121211,NORTE,PORTO ALEGRE,1.000000,3.00000000000000000,PODA
54305826,SUL,RIO GRANDE,1.000000,1.01166666666666670,PODA
54401858,SUL,CANGUÇU,226.000000,678.00000000000000000,PODA
185002062,SUL,RIO GRANDE,684.000000,1641.60000000000000000,PODA
35000126,SUL,CANGUÇU,14.000000,15.00333333333333520,PODA
54400318,SUL,CANGUÇU,5.000000,12.00000000000000000,PODA
8501381,SUL,CAMAQUÃ,2.000000,5.95000000000000000,PODA
3040,SUL,CAMAQUÃ,1.000000,0.00000000000000000,LM
188000453,SUL,CAMAQUÃ,2.000000,0.00000000000000000,LM
16003533,SUL,BAGÉ,1.000000,0.00000000000000000,PODA
136547125,NORTE,OSÓRIO,3.000000,3.23999999999999940,TAT
46335395,NORTE,OSÓRIO,1.000000,0.00000000000000000,CAPEX
SAO5,NORTE,OSÓRIO,1.000000,10.26300000000000000,CAPEX
16002058,SUL,BAGÉ,2.000000,3.00000000000000000,PODA
PMR8,NORTE,OSÓRIO,16.000000,47.60000000000000000,PODA
142001742,SUL,PELOTAS,6.000000,9.92879999999999880,TAT
188000453,SUL,CAMAQUÃ,2.000000,0.00000000000000000,LV
65003204,SUL,CANGUÇU,1.000000,3.00000000000000000,PODA
35000960,SUL,CAMAQUÃ,3.000000,3.96360000000000000,LM
1007,SUL,CAMAQUÃ,4.000000,26.82000000000000400,LV
188001801,SUL,CAMAQUÃ,3.000000,6.07500000000000000,TAT
173005509,SUL,RIO GRANDE,5.000000,5.05833333333333350,PODA
65000217,SUL,CANGUÇU,11.000000,33.00000000000000000,PODA
185002062,SUL,RIO GRANDE,94.000000,101.51999999999998120,PODA
54400318,SUL,CANGUÇU,20.000000,21.59999999999999600,PODA
188002964,SUL,CAMAQUÃ,14.000000,15.00333333333333520,PODA
156000685,SUL,RIO GRANDE,2.000000,5.16000000000000000,PODA
SLO3,SUL,CAMAQUÃ,5.000000,0.00000000000000000,LM
188000485,SUL,CAMAQUÃ,1.000000,0.00000000000000000,LM
PAL121211,NORTE,PORTO ALEGRE,1.000000,3.00000000000000000,PODA
35000749,SUL,CAMAQUÃ,2.000000,7.12800000000000000,LM
188000027,SUL,CAMAQUÃ,8.000000,27.97920000000000000,CAPEX
CAM18,SUL,CAMAQUÃ,2.000000,15.65880000000000000,LM
PMR1,NORTE,OSÓRIO,3.000000,18.70560000000000000,LM
144000250,SUL,PELOTAS,1.000000,3.00000000000000000,PODA
8502414,SUL,CAMAQUÃ,1.000000,1.50000000000000000,PODA
16000443,SUL,BAGÉ,12.000000,80.46000000000001200,LV
PMR1,NORTE,OSÓRIO,3.000000,15.63840000000000000,LV
185002063,SUL,RIO GRANDE,1.000000,4.05420000000000000,LV
PMR1,NORTE,OSÓRIO,3.000000,6.47640000000000090,LM
SLO4,SUL,CAMAQUÃ,1.000000,3.56400000000000000,LM
173005965,SUL,RIO GRANDE,1.000000,0.90000000000000000,TAT
135031074,NORTE,OSÓRIO,4.000000,3.60000000000000000,TAT
6007712,NORTE,PORTO ALEGRE,3.000000,9.00000000000000000,PODA
173005503,SUL,RIO GRANDE,1.000000,1.32120000000000000,TAT
35001646,SUL,CAMAQUÃ,4.000000,20.85120000000000000,LV
66003130,SUL,BAGÉ,4.000000,0.00000000000000000,LV
35000215,SUL,CAMAQUÃ,1.000000,3.56400000000000000,LM
35000126,SUL,CANGUÇU,29.000000,87.00000000000000000,PODA
DPE04,SUL,BAGÉ,8.000000,20.64000000000000000,PODA
188002964,SUL,CAMAQUÃ,8.000000,20.46666666666666880,PODA
156000695,SUL,RIO GRANDE,12.000000,29.98799999999999640,LV
136547075,NORTE,OSÓRIO,3.000000,10.62000000000000150,TAT
144000650,SUL,PELOTAS,72.000000,103.16160000000000000,TAT
142001742,SUL,PELOTAS,3.000000,3.92939999999999970,TAT
211000082,SUL,CAMAQUÃ,9.000000,25.13159999999999820,TAT
PMR1,NORTE,OSÓRIO,6.000000,12.95280000000000180,LV
144000084,SUL,PELOTAS,1.000000,1.14000000000000010,PODA
91084,NORTE,OSÓRIO,2.000000,21.48300000000000000,CAPEX
PAL13136,NORTE,PORTO ALEGRE,1.000000,3.60000000000000000,PODA
35000183,SUL,CAMAQUÃ,8.000000,53.64000000000000800,LV
PAL131311,NORTE,PORTO ALEGRE,3.000000,9.36000000000000030,PODA
144000213,SUL,PELOTAS,2.000000,20.52600000000000000,LV
173002852,SUL,RIO GRANDE,5.000000,12.79166666666666800,PODA
51700301,SUL,CAMAQUÃ,86.000000,206.40000000000000000,PODA
149001412,NORTE,PORTO ALEGRE,1.000000,2.40000000000000000,PODA
211000331,SUL,CAMAQUÃ,4.000000,16.69919999999999600,CAPEX
35000183,SUL,CAMAQUÃ,3.000000,3.96360000000000000,LM
185002062,SUL,RIO GRANDE,129.000000,387.00000000000000000,PODA
54400318,SUL,CANGUÇU,3.000000,9.00000000000000000,PODA
185002062,SUL,RIO GRANDE,11.000000,33.00000000000000000,PODA
185002062,SUL,RIO GRANDE,18.000000,46.44000000000000000,PODA
