REGIONAL,SECCIONAL,ABRANGENCIA,AVG(I.KM_TOTAL)
NORDESTE,ABAETETUBA,RM,2.001877565
SUL,MARABA,BT,0.8502481701
NORTE,BELEM,BT,0.7648117858
NORDESTE,REDENCAO,RM,2.809298176
NORTE,ABAETETUBA,BT,0.8300121951
OESTE,ITAITUBA,RM,2.534113781
NORTE,BREVES,RM,1.647574764
CENTRO,CAPANEMA,RM,2.892604603
SUL,ALTAMIRA,BT,0.85011
CENTRO,BELEM,BT,0.6904988889
SUL,PARAUAPEBAS,BT,0.843271261
NORDESTE,CAPANEMA,AL,12.625364967
CENTRO,BREVES,RM,1.480060893
NORDESTE,ABAETETUBA,AL,14.676692214
SUL,TOME ACU,RM,3.595817862
CENTRO,CANAA DOS CARAJAS,RM,2.391684
NORTE,PARAUAPEBAS,RM,2.54584
NORDESTE,PARAGOMINAS,RM,1.558452923
NORDESTE,BELEM,AL,17.310406841
OESTE,SANTAREM,CR,0.6895
CENTRO,ALENQUER,AL,10.214880286
SUL,MARABA,CR,0.7155033333
NORDESTE,MARABA,BT,0.79411
CENTRO,CASTANHAL,AL,32.746856417
CENTRO,SANTAREM,RM,12.805468
CENTRO,SOURE,AL,12.02107675
OESTE,ALTAMIRA,BT,0.66555
NORTE,CANAA DOS CARAJAS,AL,23.736234333
NORDESTE,TOME ACU,BT,0.783710408
OESTE,TOME ACU,RM,4.146867209
SUL,ABAETETUBA,RM,4.78090754
NORTE,CASTANHAL,AL,26.9243033
CENTRO,ALTAMIRA,BT,1.272173415
CENTRO,ALTAMIRA,RM,1.903037024
CENTRO,MARABA,RM,3.227385932
NORTE,REDENCAO,RM,3.913521632
NORTE,ALTAMIRA,RM,0.8904063759
NORTE,BELEM,CR,0.54984
SUL,PARAUAPEBAS,RM,1.369060069
NORDESTE,TOME ACU,AL,13.610945986
NORTE,CASTANHAL,BT,0.7308146667
SUL,BREVES,RM,1.306863071
SUL,TUCURUI,CR,0.98362
NORTE,SOURE,BT,0.9283151075
NORTE,BELEM,RM,1.309749076
SUL,MARABA,RM,1.850542019
NORDESTE,REDENCAO,AL,18.223034011
NORDESTE,CAPANEMA,RM,1.71843128
CENTRO,CASTANHAL,RM,3.153601648
OESTE,CASTANHAL,RM,4.02961429
OESTE,ALENQUER,BT,0.8307711025
NORDESTE,CASTANHAL,BT,0.8555527302
OESTE,BREVES,RM,3.15883874
NORDESTE,MARABA,RM,3.241400434
SUL,ALTAMIRA,RM,2.861418728
CENTRO,BREVES,BT,0.949988
SUL,CANAA DOS CARAJAS,AL,9.43552943
SUL,MARABA,AL,6.945263467
NORDESTE,PARAUAPEBAS,AL,17.896889
SUL,PARAUAPEBAS,AL,6.099783667
NORTE,TUCURUI,RM,0.8531974443
NORTE,BELEM,AL,6.393975214
NORTE,BREVES,BT,0.794495192
OESTE,SANTAREM,AL,7.137936083
SUL,PARAGOMINAS,RM,2.956167617
NORDESTE,PARAGOMINAS,AL,14.412444145
SUL,TUCURUI,AL,12.431143556
NORDESTE,CASTANHAL,CR,0.7800933333
