PLANO,ORDEM_INSP,SEAL,N_COMP_INSP,TIPO_COMP_INSP,CLASSE,FATOR_PRIOR,REGIONAL,SECCIONAL,TIPO_INSP,DATA_PROG,MES_PROG,BASE_REG,SUM,MES_PROG_NUM,TENSAO,BASE_REG_2,ORDEM_MAN,EMPRESA,PDF_CONS,INDEX,FATOR_PRIOR_CONSOLIDADO,SUPERINTENDENCIA,CONJUNTO,KM_TOTAL
BAIXA TENSÃO,6001081286,PEL5-512,144000278,,C2,HIERARQUIA,SUL,PELOTAS,GERAL T1,2025-10-01,OUT,ANO ANTERIOR,1,10,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,144000278,144000278-BT-OUT-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,PELOTAS 5,1.195
RAMAL,4180545223,RIN-11,149001126,,C2,HIERARQUIA,NORTE,PORTO ALEGRE,GERAL T1,2025-10-01,OUT,ANO ANTERIOR,1,10,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,149001126,149001126-RM-OUT-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,RINCAO,0.636
RAMAL,6001094557,RIN-11,149001126,,C2,HIERARQUIA,NORTE,PORTO ALEGRE,GERAL T1,2025-10-01,OUT,ANO ANTERIOR,1,10,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,149001126,149001126-RM-OUT-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,RINCAO,0.636
RAMAL,6000890448,VIA 1-14,230006963,,C2,HIERARQUIA,NORTE,PORTO ALEGRE,GERAL T1,2025-02-01,FEV,ANO ANTERIOR,1,2,23 kV,2025,SIM,RIO GRANDE DO SUL,230006963,230006963-RM-FEV-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,VIAMAO 1,0.925
BAIXA TENSÃO,6000896144,PAL5-512,149007378,,SC,REINCIDÊNCIAS PLANTÃO,NORTE,PORTO ALEGRE,PATRUL,2025-02-01,FEV,ANO ANTERIOR,1,2,"13,8 kV",2025,NÃO,RIO GRANDE DO SUL,149007378,149007378-BT-FEV-PTL-ANO ANTERIOR,REINCIDÊNCIAS PLANTÃO,EQTL-RS,PORTO ALEGRE 5,0.83
RAMAL,6001003059,TAI-4,156001050,,C2,HIERARQUIA,SUL,RIO GRANDE,GERAL T1,2025-07-01,JUL,ANO ANTERIOR,1,7,23 kV,2025,SIM,RIO GRANDE DO SUL,156001050,156001050-RM-JUL-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,QUINTA,2.078
RAMAL,6000890298,PAL2-28,149005030,,C2,REGIONAL,NORTE,PORTO ALEGRE,GERAL T1,2025-02-01,FEV,ANO ANTERIOR,1,2,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,149005030,149005030-RM-FEV-GT1-ANO ANTERIOR,REGIONAL,EQTL-RS,PORTO ALEGRE 2,0.899
RAMAL,6001112923,PAL2-28,149005030,,C2,HIERARQUIA,NORTE,PORTO ALEGRE,GERAL T1,2025-11-01,NOV,ANO ANTERIOR,1,11,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,149005030,149005030-RM-NOV-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,PORTO ALEGRE 2,0.899
RAMAL,6000890298,PAL2-28,149005030,,C2,REGIONAL,NORTE,PORTO ALEGRE,GERAL T1,2025-02-01,FEV,ANO ANTERIOR,1,2,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,149005030,149005030-RM-FEV-GT1-ANO ANTERIOR,REGIONAL,EQTL-RS,PORTO ALEGRE 2,0.899
RAMAL,6001112923,PAL2-28,149005030,,C2,HIERARQUIA,NORTE,PORTO ALEGRE,GERAL T1,2025-11-01,NOV,ANO ANTERIOR,1,11,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,149005030,149005030-RM-NOV-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,PORTO ALEGRE 2,0.899
BAIXA TENSÃO,6000896380,VIA 1-17,230010229,,SC,REINCIDÊNCIAS PLANTÃO,NORTE,PORTO ALEGRE,PATRUL,2025-02-01,FEV,ANO ANTERIOR,1,2,23 kV,2025,NÃO,RIO GRANDE DO SUL,230010229,230010229-BT-FEV-PTL-ANO ANTERIOR,REINCIDÊNCIAS PLANTÃO,EQTL-RS,VIAMAO 1,0.7
RAMAL,6001054180,VAS-3,211001186,,C2,HIERARQUIA,SUL,CAMAQUÃ,GERAL T1,2025-09-01,SET,ANO ANTERIOR,1,9,23 kV,2025,SIM,RIO GRANDE DO SUL,211001186,211001186-RM-SET-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,VASCONCELOS,0.574
BAIXA TENSÃO,6000896205,PAL15-01503,149004679,,SC,REINCIDÊNCIAS PLANTÃO,NORTE,PORTO ALEGRE,PATRUL,2025-02-01,FEV,ANO ANTERIOR,1,2,"13,8 kV",2025,NÃO,RIO GRANDE DO SUL,149004679,149004679-BT-FEV-PTL-ANO ANTERIOR,REINCIDÊNCIAS PLANTÃO,EQTL-RS,PORTO ALEGRE 15,0.83
BAIXA TENSÃO,6001088021,PEL5-58,144000156,,C2,REGIONAL,SUL,PELOTAS,GERAL T1,2025-10-01,OUT,ANO ANTERIOR,1,10,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,144000156,144000156-BT-OUT-GT1-ANO ANTERIOR,REGIONAL,EQTL-RS,PELOTAS 5,3.264
BAIXA TENSÃO,6001088021,PEL5-58,144000156,,C2,REGIONAL,SUL,PELOTAS,GERAL T1,2025-10-01,OUT,ANO ANTERIOR,1,10,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,144000156,144000156-BT-OUT-GT1-ANO ANTERIOR,REGIONAL,EQTL-RS,PELOTAS 5,3.264
RAMAL,6001081298,PEL4-46,144026150,,C2,HIERARQUIA,SUL,PELOTAS,GERAL T1,2025-10-01,OUT,ANO ANTERIOR,1,10,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,144026150,144026150-RM-OUT-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,PELOTAS 3,17.315
RAMAL,6000891332,TRA-4,103300320,,C2,HIERARQUIA,NORTE,OSÓRIO,TERMO T1,2025-02-01,FEV,ANO ANTERIOR,1,2,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,103300320,103300320-RM-FEV-TG1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,TRAMANDAI,1.335
RAMAL,6000891312,TRA-4,103300320,,C2,HIERARQUIA,NORTE,OSÓRIO,GERAL T1,2025-02-01,FEV,ANO ANTERIOR,1,2,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,103300320,103300320-RM-FEV-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,TRAMANDAI,1.335
RAMAL,6001081246,TRA-4,103300320,,C2,HIERARQUIA,NORTE,OSÓRIO,GERAL T1,2025-10-01,OUT,ANO ANTERIOR,1,10,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,103300320,103300320-RM-OUT-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,TRAMANDAI,1.335
RAMAL,6000931078,SLO-4,188002960,,C2,HIERARQUIA,SUL,CAMAQUÃ,GERAL T1,2025-04-01,ABR,ANO ANTERIOR,1,4,23 kV,2025,SIM,RIO GRANDE DO SUL,188002960,188002960-RM-ABR-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,SAO LOURENCO DO SUL,39.049
