INSTALACAO_ID,COMPONENTE,DESCRICAO,ALIM,REGIONAL,SECCIONAL,BASE,CONJUNTO,FASE,CHAVE_PAI_ID,KVAN,KVAT_D,KVAT_N,TAP,TP_CONDUTOR,KM_TOTAL,MULT,NU,PERC_MULT,PERC_NU,CLIT,SOBRECARGA,INT12M,DEC12M,FEC12M
1138429.0000000000,52418,Instalacao Transformadora com Chave,PMIY1,CENTRO,PALMEIRA DOS ÍNDIOS,QUEBRANGULO,PALMEIRA DOS ÍNDIOS,ABC,1138435.0000000000,15.0000000000,,,,,,0.00000000,0.00000000,,,0,0.000000,,,
1169708.0000000000,105340X,Estacao Transformadora com Chave,UPMY2,CENTRO,UNIÃO DOS PALMARES,SANATA DO MUNDAÚ,UNIÃO DOS PALMARES,ABC,1145676.0000000000,75.0000000000,75.0000000000,75.0000000000,,,,0.00000000,0.00000000,,,0,0.000000,,,
1214988.0000000000,100200495X,Instalacao Transformadora com Chave,UPMY5,CENTRO,UNIÃO DOS PALMARES,UNIÃO DOS PALMARES,UNIÃO DOS PALMARES,AC,1214982.0000000000,10.0000000000,10.0000000000,10.0000000000,,,,0.00000000,0.00000000,,,0,0.000000,,,
1252309.0000000000,1128973,Instalacao Transformadora com  Chave,SDIY3,SERTAO,SANTANA DO IPANEMA,CACIMBINHAS,SANTANA DO IPANEMA,A,1174156.0000000000,5.0000000000,,,,,,0.00000000,0.00000000,,,0,0.000000,,,
1147329.0000000000,100125479X,Instalacao Transformadora (Companhia),XNGY1,SERTAO,DELMIRO GOUVEIA,PIRANHAS,XINGÓ,AC,1147328.0000000000,15.0000000000,,,,,,0.00000000,0.00000000,,,0,0.000000,,,
1031323.0000000000,1079409,Estacao Transformadora com Chave,SMCY2,SERTAO,SÃO MIGUEL DOS CAMPOS,SÃO MIGUEL DOS CAMPOS,SÃO MIGUEL DOS CAMPOS,ABC,1176140.0000000000,30.0000000000,30.0000000000,30.0000000000,,,,0.00000000,0.00000000,,,0,0.000000,,,
1009310.0000000000,02933,Instalacao Transformadora com  Chave,TBMY6,METROPOLITANA,MACEIO I,SATUBA,TABULEIRO DOS MARTINS,ABC,1009309.0000000000,75.0000000000,,,,,,0.00000000,0.00000000,,,0,0.000000,,,
1210284.0000000000,100130970X,Instalacao Transformadora com Chave,UPMY5,CENTRO,UNIÃO DOS PALMARES,UNIÃO DOS PALMARES,UNIÃO DOS PALMARES,AC,1201511.0000000000,5.0000000000,,,,,,0.00000000,0.00000000,,,0,0.000000,,,
1139040.0000000000,1051199,Instalacao Transformadora com Chave,PMIY1,CENTRO,PALMEIRA DOS ÍNDIOS,QUEBRANGULO,PALMEIRA DOS ÍNDIOS,AC,1139027.0000000000,25.0000000000,,,,,,0.00000000,0.00000000,,,0,0.000000,,,
1084066.0000000000,1134078,Estacao Transformadora com Chave,CPEY1,SERTAO,PENEDO,CORURIPE,CORURIPE,ABC,1084150.0000000000,112.5000000000,112.5000000000,112.5000000000,,,,0.00000000,0.00000000,,,0,0.000000,,,
1043716.0000000000,22865,Instalacao Transformadora com  Chave,INPY4,COD DELMIRO GOLVEIA,DELMIRO GOUVEIA,INHAPI,INHAPI,A,1043719.0000000000,10.0000000000,,,,,,0.00000000,0.00000000,,,0,0.000000,,,
1016944.0000000000,04272,Estacao Transformadora com Chave,PNOY9,METROPOLITANA,MACEIO II,PINHEIRO,PINHEIRO,ABC,1016779.0000000000,30.0000000000,30.0000000000,30.0000000000,,,,0.00000000,0.00000000,,,0,0.000000,,,
