COMPONENTE,DESCRICAO,ALIM,REGIONAL,SECCIONAL,BASE,CONJUNTO,FASE,CHAVE_PAI_ID,KVAN,KVAT_D,KVAT_N,TAP,TP_CONDUTOR,KM_TOTAL,MULT,NU,PERC_MULT,PERC_NU,CLIT,INT12M,DEC12M,FEC12M
1750,Instalacao Transformadora com Chave,MCD01C5,,Metropolitana,Macapá,MACAPA - II,ABC,3156701,112.5000000000,,,,,,0.00000000,0.00000000,,,0,,,
100191934- X,Instalacao Transformadora com  Chave,MCD01W4,,Metropolitana,Macapá,MACAPA - II,C,3163505,5.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
SJ457,Instalacao Transformadora com Chave,SJO01S1,,Metropolitana,Macapá,SANTA RITA,ABC,3153182,112.5000000000,,,,,,0.00000000,0.00000000,,,0,1,0.0002774773781,0.0001852318946
04700208,Instalacao Transformadora com  Chave,JAR01F3,AMAPÁ,Metropolitana,Macapá,LARANJAL DO JARI,C,3167118,15.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
3474,Instalacao Transformadora com Chave,STN01S5,AMAPÁ,Metropolitana,Santana,SANTANA,ABC,3152297,112.5000000000,,,,,,0.00000000,0.00000000,,,0,,,
204529,Instalacao Transformadora (Companhia),STN01S6,AMAPÁ,Metropolitana,Macapá,SANTANA,C,3182452,15.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
01500182,Instalacao Transformadora com Chave,CEN01C3,,Porto Grande,Ferreira Gomes,PORTO GRANDE,A,3160801,5.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
100178758-X,Instalacao Transformadora com Chave,SNV01N1,,Porto Grande,Pedra Branca,SERRA DO NAVIO,ABC,3174609,112.5000000000,,,,,,0.00000000,0.00000000,,,0,,,
10924,Instalacao Transformadora com Chave,SNV01N1,,Porto Grande,Pedra Branca,SERRA DO NAVIO,A,3174385,5.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
00303232,Instalacao Transformadora com Chave,FTC01F3,,Metropolitana,Santana,,ABC,3156211,150.0000000000,,,,,,0.00000000,0.00000000,,,0,1,0.002133060459,0.0005996796342
00199814,Instalacao Transformadora com Chave,MCD01C2,,Metropolitana,Macapá,MACAPA - II,ABC,3162000,75.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
06905213,Instalacao Transformadora com  Chave,MD101M3,,Metropolitana,Macapá,,B,3184198,15.0000000000,,,,,,0.00000000,0.00000000,,,0,2,0.00112374091,0.0003953836945
SK742,Instalacao Transformadora com Chave,OIP01Y2,,,,OIAPOQUE,AC,3184817,5.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
QT758,Instalacao Transformadora com Chave,FTC01F5,,Metropolitana,Santana,,ABC,3179290,75.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
100180766- X,Instalacao Transformadora com Chave,EQT01C1,AMAPÁ,Metropolitana,Macapá,EQUATORIAL,ABC,3173488,112.5000000000,,,,,,0.00000000,0.00000000,,,0,,,
SL223,Instalacao Transformadora com  Chave,MCD01W4,,Metropolitana,Macapá,MACAPA - II,C,3183137,10.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
SC794,Instalacao Transformadora com  Chave,CPX01C2,AMAPÁ,Porto Grande,Porto Grande,SERRA DO NAVIO,B,3182638,15.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
C16563,Instalacao Transformadora com  Chave,INJ01N2,,Metropolitana,Macapá,PORTO GRANDE,C,3178895,5.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
100179757- X,Instalacao Transformadora (Companhia),STN01S4,AMAPÁ,Metropolitana,Mazagão,SANTANA,B,3155997,5.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
107860,Instalacao Transformadora com  Chave,STN01S6,AMAPÁ,Metropolitana,Macapá,SANTANA,A,3168607,5.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
SK026,Instalacao Transformadora com  Chave,STN01S6,AMAPÁ,,,SANTANA,A,3181884,15.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
16381,Instalacao Transformadora (Companhia),CAL01C1,AMAPÁ,Tartarugalzinho,Calçoene,CALCOENE,A,3144130,5.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
